,Unnamed: 0.1,Unnamed: 0,recipe_urls,recipe_name,ingredients,url,images url
2826,3683,4540,https://www.allrecipes.com/recipe/145732/thai-peanut-dressing/,Thai Peanut Dressing Recipe - Allrecipes.com,"[""1 cup warm water"",""1 tablespoon chopped fresh mint leaves (optional)"",""1 tablespoon white vinegar"",""1/2 cup cold water"",""1/2 cup smooth peanut butter"",""1/4 cup brown sugar"",""1/4 cup chopped peanuts (optional)"",""1/4 cup low-sodium soy sauce"",""2 tablespoons cornstarch"",""2 teaspoons sesame oil""]",,
2827,3684,4541,https://www.allrecipes.com/recipe/269663/vegan-keto-friendly-thai-yellow-curry/,Vegan Keto-Friendly Thai Yellow Curry Recipe - Allrecipes.com,"[""1 (12 ounce) package extra-firm tofu, cubed"",""1 (14 ounce) can cream of coconut"",""1 1/2 cups vegetable stock"",""1 head broccoli, cut into florets"",""1/2 onion, chopped (optional)"",""2 cups cauliflower rice"",""2 large zucchini, sliced"",""2 limes, halved"",""3 tablespoons apple cider vinegar"",""3 tablespoons soy sauce"",""4 cloves garlic, minced"",""5 tablespoons Thai yellow curry paste (such as Mae Ploy(R))"",""6 tablespoons medium-chain triglyceride (MCT) oil, divided""]",,
2828,3685,4542,https://www.allrecipes.com/recipe/71896/sweet-rice-and-mango/,Sweet Rice and Mango Recipe - Allrecipes.com,"[""1 1/2 cups uncooked short-grain white rice"",""1/2 cup cream of coconut (optional)"",""2 cups water"",""2 mangos, peeled and sliced"",""3/4 cup white sugar, or to taste""]",,
2829,3686,4543,https://www.allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry/,Thai Peanut Noodle Stir-Fry Recipe - Allrecipes.com,"[""1 (8 ounce) package uncooked spaghetti"",""1 cup broccoli florets"",""1 cup carrots, sliced"",""1 cup vegetable broth"",""1 onion, chopped"",""1 tablespoon cornstarch"",""1 teaspoon ground ginger"",""1 teaspoon sesame oil"",""1/2 cup red bell pepper, chopped"",""1/2 cup sugar snap peas"",""1/3 cup creamy peanut butter"",""1/4 teaspoon ground red pepper"",""2 cloves garlic, minced"",""2 tablespoons sake"",""2 tablespoons vegetable oil"",""3 tablespoons brown sugar"",""3 tablespoons honey"",""3 tablespoons soy sauce""]",,
2830,3687,4544,https://www.allrecipes.com/recipe/45446/satay-sauce/,Satay Sauce Recipe - Allrecipes.com,"[""1 (10 ounce) can coconut milk"",""1 tablespoon dark soy sauce"",""1/2 cup crunchy peanut butter"",""1/2 small onion, grated"",""1/2 teaspoon red pepper flakes"",""2 teaspoons brown sugar""]",,
2831,3688,4545,https://www.allrecipes.com/recipe/173239/thai-style-rice-salad/,Thai-Style Rice Salad Recipe - Allrecipes.com,"[""1 1/2 cups diced pineapple"",""1 Thai chile pepper, seeded and minced"",""1 shallot, minced"",""1 tablespoon chopped fresh basil"",""1 tablespoon fish sauce"",""1 tablespoon peanut oil"",""1 teaspoon minced fresh ginger root"",""1 teaspoon minced lemon grass"",""1 teaspoon soy sauce"",""1/2 lime, juiced"",""1/2 pound peeled and deveined medium shrimp (30-40 per pound)"",""1/2 red bell pepper, sliced"",""1/2 teaspoon salt"",""1/4 cup chopped fresh cilantro"",""2 (14 ounce) cans coconut milk"",""2 cloves garlic, minced"",""2 cups water"",""2 teaspoons minced fresh ginger root"",""2 teaspoons unsalted butter"",""2 teaspoons white sugar, or to taste"",""4 cups uncooked jasmine rice""]",,
2832,3689,4546,https://www.allrecipes.com/recipe/8742/thai-style-chicken-wings/,Thai-Style Chicken Wings Recipe - Allrecipes.com,"[""1 cup chicken broth"",""1 cup white sugar"",""1 tablespoon cornstarch"",""1 tablespoon vegetable oil"",""1/3 cup minced garlic"",""1/4 cup fish sauce"",""1/4 cup sliced red bell peppers"",""2 tablespoons cider vinegar"",""2 teaspoons paprika"",""3 pounds chicken wings"",""3 tablespoons minced jalapeno peppers""]",,
2833,3690,4547,https://www.allrecipes.com/recipe/213814/thai-steamed-banana-cake/,Thai Steamed Banana Cake Recipe - Allrecipes.com,"[""1 (3.5 ounce) package flaked coconut"",""1 cup unsweetened coconut cream"",""1 pound ripe bananas, mashed"",""1/2 cup coconut milk"",""1/2 cup rice flour"",""1/2 cup white sugar"",""1/2 tablespoon arrowroot starch"",""1/4 teaspoon salt"",""1/8 teaspoon salt"",""3/4 cup tapioca flour""]",,
2834,3691,4548,https://www.allrecipes.com/recipe/213034/thai-curry-pork-lettuce-wraps-nam-prik-ong/,Thai Curry Pork Lettuce Wraps (Nam Prik Ong) Recipe - Allrecipes.com,"[""1 red onion, finely chopped"",""1/4 cup water (optional)"",""1/4 cup white rice"",""12 leaves lettuce"",""2 limes, juiced"",""2 pounds ground pork"",""2 tablespoons fish sauce"",""2 tablespoons red curry paste (such as Mae Ploy)"",""2 tablespoons tomato paste""]",,
2835,3692,4549,https://www.allrecipes.com/recipe/213808/thai-style-steamed-tapioca-cake/,Thai-Style Steamed Tapioca Cake Recipe - Allrecipes.com,"[""1 cup water"",""1 cup white sugar"",""1 tablespoon cornstarch"",""1/4 cup unsweetened coconut cream"",""1/4 teaspoon salt"",""2 cups flaked coconut, divided"",""4 1/2 cups grated, peeled yucca root (tapioca root)""]",,
2836,3693,4550,https://www.allrecipes.com/recipe/66814/thai-crab-rolls/,Thai Crab Rolls Recipe - Allrecipes.com,"[""1 (12 ounce) package spring roll wrappers"",""1 bird's eye chile, seeded and minced"",""1 clove garlic"",""1 cup vegetable oil for deep-frying"",""1 egg yolk, beaten"",""1 pound crabmeat, drained and flaked"",""1 tablespoon mayonnaise"",""1 tablespoon tamarind paste"",""1 teaspoon soy sauce"",""1/4 cup rice vinegar"",""15 butter lettuce leaves, rinsed"",""2 pinches salt"",""2 tablespoons white sugar""]",,
2837,3694,4551,https://www.allrecipes.com/recipe/233938/authentic-thai-steak-salad/,Authentic Thai Steak Salad Recipe - Allrecipes.com,"[""1 (1 1/2-pound) flank steak"",""1 tablespoon brown sugar"",""1 tablespoon fish sauce"",""1 teaspoon chile-garlic sauce (such as Sriracha(R))"",""1/2 teaspoon ground black pepper"",""1/3 cup fresh Thai basil leaves"",""1/3 cup fresh cilantro leaves"",""1/3 cup fresh mint leaves"",""1/4 cup fresh lime juice"",""1/4 teaspoon kosher salt"",""2 heads romaine lettuce"",""2 tablespoons soy sauce"",""2 teaspoons minced garlic""]",,
2838,3695,4552,https://www.allrecipes.com/recipe/213988/northern-thai-curry-with-chicken-and-peanuts/,Northern Thai Curry with Chicken and Peanuts Recipe - Allrecipes.com,"[""1 (2 inch) piece fresh ginger, peeled and julienned"",""1 shallot, chopped"",""1 tablespoon peeled and chopped fresh turmeric root"",""1 teaspoon salt"",""1/2 cup roasted peanuts"",""1/2 teaspoon coriander seed"",""1/2 teaspoon cumin"",""1/2 teaspoon ground mace"",""1/2 teaspoon turmeric powder"",""2 cloves garlic, chopped"",""2 cups water"",""2 tablespoons fish sauce"",""2 tablespoons peeled and chopped galangal"",""2 tablespoons roasted peanuts"",""2 tablespoons tamarind juice"",""2 tablespoons thinly sliced lemon grass"",""2 tablespoons vegetable oil"",""2 teaspoons fermented shrimp paste"",""2/3 pound skinless, boneless chicken breast, cut into cubes"",""3 large, dried red chile peppers"",""3 tablespoons palm sugar""]",,
2839,3696,4553,https://www.allrecipes.com/recipe/245358/candied-kai-bananas-in-syrup-and-coconut-cream/,Candied Kai Bananas in Syrup and Coconut Cream Recipe - Allrecipes.com,"[""1 1/4 pounds almost ripe kai bananas, peeled"",""1/2 cup coconut cream"",""1/4 teaspoon salt"",""2 cups water"",""3 cups palm sugar""]",,
