,Unnamed: 0,recipe_urls,recipe_name,ingredients
896,1753,https://www.allrecipes.com/recipe/229079/spinach-and-cauliflower-bhaji/,Spinach and Cauliflower Bhaji Recipe - Allrecipes.com,"[""1 (1 inch) piece fresh ginger, peeled and chopped"",""1 (14.5 ounce) can diced tomatoes"",""1 1/4 cups vegetable broth"",""1 1/4 teaspoons cayenne pepper"",""1 head cauliflower, cut into florets"",""1 pound fresh spinach, chopped and stems removed"",""1 teaspoon ground cumin"",""1 teaspoon ground turmeric"",""1/4 cup vegetable oil"",""2 cloves garlic, crushed"",""2 large onions, coarsely chopped"",""2 teaspoons ground coriander"",""salt and ground black pepper to taste""]"
897,1754,https://www.allrecipes.com/recipe/256359/indian-chicken-marinade/,Indian Chicken Marinade Recipe - Allrecipes.com,"[""1 1/2 cups plain yogurt"",""1 tablespoon honey"",""1 teaspoon ground cinnamon"",""1 teaspoon ground ginger"",""1 teaspoon ground paprika"",""1 teaspoon hot pepper sauce (such as Tabasco(R))"",""2 cloves garlic, minced"",""2 tablespoons soy sauce""]"
898,1755,https://www.allrecipes.com/recipe/20718/sherry-chicken-curry/,Sherry Chicken Curry Recipe - Allrecipes.com,"[""1 cup coconut milk"",""1 large onion, cut into chunks"",""1/2 cup cooking sherry"",""1/2 cup cornstarch"",""1/2 cup creamy peanut butter"",""1/2 teaspoon ground ginger"",""2 cubes beef bouillon"",""2 tablespoons vegetable oil"",""3 cloves garlic, crushed"",""3 tablespoons curry powder"",""4 skinless, boneless chicken breast halves - cut into chunks"",""salt and pepper to taste"",""water to cover""]"
899,1756,https://www.allrecipes.com/recipe/93907/masala-spicy-tea/,Masala Spicy Tea Recipe - Allrecipes.com,"[""1 whole black peppercorn"",""1/2 cup sweetened condensed milk"",""2 cinnamon sticks"",""2 cups water"",""2 tea bags"",""2 whole cardamom pods"",""2 whole cloves""]"
900,1757,https://www.allrecipes.com/recipe/166016/mango-pineapple-chutney/,Mango-Pineapple Chutney Recipe - Allrecipes.com,"[""1 1/2 tablespoons curry powder"",""1 large sweet onion, minced"",""1 large yellow bell pepper, diced"",""1 small pineapple, peeled and diced"",""1 teaspoon crushed red pepper flakes"",""1/2 cup apple cider vinegar"",""1/2 cup brown sugar"",""2 tablespoons vegetable oil"",""3 large ripe mangoes, peeled, pitted, and diced"",""4 inch piece fresh ginger root, peeled and minced""]"
901,1758,https://www.allrecipes.com/recipe/150812/butter-lamb-gravy/,Butter Lamb Gravy Recipe - Allrecipes.com,"[""1 cup chopped fresh cilantro"",""1 cup water"",""1 onion, chopped"",""1 tablespoon honey"",""1 tablespoon tomato paste"",""1/2 cup heavy cream"",""1/2 teaspoon cayenne pepper, or to taste"",""1/2 teaspoon garam masala"",""1/2 teaspoon ground turmeric (optional)"",""1/2 teaspoon minced garlic"",""1/2 teaspoon minced ginger"",""2 pounds boneless lamb shoulder, cut into 1 inch pieces"",""2 tablespoons butter, divided"",""salt to taste""]"
902,1759,https://www.allrecipes.com/recipe/16604/red-kidney-beans-rajma/,Red Kidney Beans (Rajma) Recipe - Allrecipes.com,"[""1 (1 inch) piece cinnamon stick"",""1 (15 ounce) can kidney beans, drained"",""1 bay leaf"",""1 teaspoon powdered red pepper or dried Cajun pepper (optional)"",""1 whole cardamom pod (optional)"",""10 black peppercorns"",""2 onion, chopped"",""2 tablespoons minced fresh ginger root"",""3 tablespoons canola oil"",""4 cloves garlic, minced"",""5 whole cloves"",""6 roma (plum) tomatoes, chopped"",""6 sprigs cilantro, minced"",""salt to taste"",""water""]"
903,1760,https://www.allrecipes.com/recipe/212756/paneer-jalfrazie/,Paneer Jalfrazie Recipe - Allrecipes.com,"[""1 tablespoon ketchup"",""1 tablespoon minced fresh ginger root"",""1 tablespoon minced garlic"",""1 tablespoon vegetable oil"",""1 teaspoon garam masala"",""1/2 cup water"",""1/2 teaspoon ground fennel seed"",""1/2 teaspoon ground turmeric"",""1/4 cup chopped fresh cilantro"",""2 green bell peppers, cut into strips"",""2 onions, roughly chopped"",""2 pounds paneer, cut into cubes"",""2 tomatoes, pureed"",""3 tablespoons vegetable oil"",""salt to taste""]"
904,1761,https://www.allrecipes.com/recipe/45957/chicken-makhani-indian-butter-chicken/,Chicken Makhani (Indian Butter Chicken) Recipe - Allrecipes.com,"[""1 bay leaf"",""1 cup half-and-half"",""1 cup tomato puree"",""1 pinch black pepper"",""1 pinch cayenne pepper"",""1 pinch salt"",""1 pound boneless, skinless chicken thighs, cut into bite-size pieces"",""1 shallot, finely chopped"",""1 tablespoon cornstarch"",""1 tablespoon ginger garlic paste"",""1 tablespoon peanut oil"",""1 teaspoon chili powder"",""1 teaspoon garam masala"",""1 teaspoon ground cumin"",""1/4 cup plain yogurt"",""1/4 cup water"",""1/4 teaspoon cayenne pepper, or to taste"",""1/4 white onion, chopped"",""2 tablespoons butter"",""2 teaspoons lemon juice""]"
905,1762,https://www.allrecipes.com/recipe/20312/absolutely-perfect-palak-paneer/,Absolutely Perfect Palak Paneer Recipe - Allrecipes.com,"[""1 large tomato, quartered"",""1 tablespoon grated fresh ginger root"",""1 teaspoon ground coriander"",""1 teaspoon ground turmeric"",""1/2 cup finely chopped onion"",""2 cloves garlic, chopped"",""2 dried red chile peppers (optional)"",""2 teaspoons ground cumin"",""3 pounds fresh spinach, torn"",""3/4 cup sour cream"",""4 sprigs fresh cilantro leaves"",""6 tablespoons olive oil"",""8 ounces ricotta cheese"",""coarse sea salt to taste""]"
